ID,set,question,answer,score
33,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,ใช่การทดสอบ A/B เป็นวิธีที่มีประสิทธิภาพในการประเมินผลลัพธ์ของการเปลี่ยนแปลงระหว่างสองตัวเลือก (A และ B) โดยไม่มีตัวแปรภายนอกที่มีอิทธิพลต่อผลลัพธ์ ในบริบทของผู้ค้าปลีกที่ทดสอบการย้ายถิ่นฐานของโฆษณาการใช้การทดสอบ A/B ช่วยให้การประเมินที่ชัดเจนและทันทีว่าการเปลี่ยนแปลงนี้ส่งผลกระทบต่อยอดขายหรือไม่,4.0
34,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,"เห็นด้วย
- ลักษณะข้อมูลเป็นแบบไบนารี (กด/ไม่กด) ซึ่งตรงกับการใช้ dist binomial
- dist binomial สามารถคำนวณได้รวดเร็วทำให้เข้าใจผลได้เร็ว
- binomail ทำให้คำนวณช่วงความมั่นใจได้",5.0
35,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบจงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,การเลือก 50/50 นั้นเป็นการเลือกสัดส่วนที่แสดงโฆษณาในตำแหน่งใหม่ที่สูงแต่มีข้อเสียที่สำคัญคือจะมีความเสี่ยงที่สูงกว่าเนื่องจากหากการเปลี่ยนตำแหน่งโฆษณานั้นไม่เกิดผลดี 80/2 นั้นจะให้ผลจากการทดสอบที่ช้ากว่าเนื่องจากมีปริมาณสัดส่วนที่แสดงโฆษณาในตำแหน่งใหม่น้อยกว่า A/B ทดสอบของ hamtube นั้น 80/20 น่าจะมีความเหมาะสมมากกว่าเนื่องจากโฆษณาเป็นแหล่งที่สามารถนำรายได้มาสู่แพลตฟอร์มได้สูงการย้ายตำแหน่งของโฆษณาอาจส่งผลให้ผู้ใช้งานที่ไม่ชอบมีจำนวนเพิ่มขึ้นทำให้ยอดขายลดลงอย่างมากได้ทำให้ยอดขายลดลงอย่างมากได้,5.0
36,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,"Granularity = จำนวนครั้งที่ผู้ใช้กดโฆษณา 
เพื่อที่จะวัดว่าผู้ใช้กดโฆษณามากขึ้นมั้ยถ้าเปลี่ยนตำแหน่ง

ระยะเวลาที่มา = 1 สัปดาห์
พิจารณาระยะเวลาการระบุแหล่งที่มาใหไม่นานจนเกินไปเพื่อให้ตอบสนองและปรับแก้ได้เร็วเมื่อเห็นผลที่ได้",0.0
37,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,ผมเห็นด้วยกับแฮมทาโร่เพราะว่าการกระจายแบบทวินามเหมาะสำหรับการทดสอบ A/B ที่มีสองผลลัพธ์ที่เป็นไปได้ (เช่นเช่น) และช่วยในการคำนวณความน่าจะเป็นของผลลัพธ์ได้,5.0
38,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"ข้อดี
- ช่วยให้สามารถเปรียบเทียบผลลัพธ์ของทั้งสองเวอร์ชันได้อย่างแม่นยำ
ช่วยลดอคติในการทดลอง
- ใช้เวลาในการทดลองน้อยกว่าสัดส่วน 50/50 เพราะสามารถได้จำนวนตัวอย่างที่เพียงพอในการเปรียบเทียบผลลัพธ์ได้เร็วขึ้น
ข้อเสีย
- อาจใช้เวลานานในการทดลอง
ข้อดีข้อเสียของการเลือกสัดส่วน 80/20
- อาจทำให้ผลการทดลองไม่แม่นยำเพราะจำนวนผู้ชมที่ได้เห็นแต่ละเวอร์ชันไม่เท่ากันซึ่งอาจทำให้ผลลัพธ์ของทั้งสองเวอร์ชันมีความแตกต่างกันโดยบังเอิญ

สรุป
- จากข้อดีข้อเสียของทั้งสองสัดส่วน 50/50 จะให้ผลลัพธ์ที่แม่นยำกว่า 80/20 ใช้เวลาในการทดลองน้อยกว่าแต่อาจทำให้ผลการทดลองไม่แม่นยำ
- หากแฮมทาโร่ต้องการผลการทดลองที่แม่นยำมากที่สุด 50/50 จะเป็นตัวเลือกที่ดีกว่า 80/20 จะเป็นตัวเลือกที่ดีกว่า
- ในกรณีของแฮมทาโร่ที่ต้องการทดสอบการเปลี่ยนแปลงตำแหน่งของโฆษณา 50/50 เพื่อให้ผลการทดลองมีความแม่นยำและครอบคลุมมากที่สุด",1.0
39,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,การทดสอบ A/B A/B ในการทดสอบการทดสอบ A/B,1.0
40,Q2,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B ความละเอียดควรเป็นอะไรระยะเวลาการระบุแหล่งที่มาควรเป็นเท่าไหร่จงอธิบายเหตุผล,ขึ้นอยู่กับขนาดของช่อง hamtaro รับได้,0.0
41,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"50/50 มีข้อดีคือความรวดเร็วเนื่องจากทั้ง 2 กลุ่มมีขนาดเท่ากัน 2 กลุ่มได้อย่างรวดเร็วผู้ใช้แต่มีข้อเสียคือจะมีหากการเปลี่ยนแปลงนั้นก่อให้เกิดปัญหาใดๆก็จะทำให้เกิดความเสี่ยงแก่แพลตฟอร์มมากขึ้นมากขึ้นมากขึ้น

80/20 มีข้อดีคือผู้ใช้เพียงแค่ 20% ที่จะเห็นการเปลี่ยนแปลงทำให้สามารถลดความเสี่ยงของปัญหาใดๆ 50/50 เพราะจำนวนผู้ใช้ที่เห็นการเปลี่ยนแปลงแตกต่างจากจำนวนผู้ใช้

สำหรับปัญหานี้ 80/20 น่าจะเหมาะสมมากกว่าและมีความเกี่ยวข้องกับยอดขายจึงไม่ควรก่อให้เกิดความเสี่ยงมากเกินจำเป็น",5.0
42,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบจงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"50/50 จะทำให้สามารถเก็บตัวอย่างครบจำนวนได้ไวกว่า B มากกว่าเช่นเดียวกัน 20/80 ซี่งเสี่ยงน้อยกว่าแต่ใช้เวลาเก็บยากกว่า

เนื่องจากยอดคลิกโฆษณาอาจจะมีผลต่อรายได้จากการโฆษณาใน Hamtube และไม่ได้ต้องรีบในการหาผลตัดสิน 80/20 จึงเหมาะสมกว่า",5.0
43,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,เห็นด้วยการทดสอบ A/B มักจะถูกใช้เพื่อทดสอบของอินเตอร์เฟสใหม่ผู้ใช้เพื่อทดสอบสมมุติฐานเหล่านั้นข้อ จำกัด ของ A/B ทดสอบด้วยด้วย,1.0
44,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,เห็นด้วยว่าควรใช้ A/B ทดสอบเพราะเป็นการทดสอบว่าโฆษณาจะอยู่ที่เดิมหรือย้ายที่แบบไหนดีกว่ากัน,1.0
45,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,เห็นด้วย (0/1),5.0
46,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,ไม่เหมาะสมการกระจายแบบทวินามจะไม่สามารถตอบโจทย์ได้หรืออื่นๆหรืออื่นๆหรืออื่นๆหรืออื่นๆหรืออื่นๆ,1.0
47,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,ข้อดีของ 50/50 คือแฮมทาโร่จะมีผู้ใช้ที่ทดลองทั้ง 2 กรณีในจำนวนที่เท่าๆกัน 80/20 แต่ข้อเสียคือการทดสอบที่มากกว่า 50/50 เนื่องจากมองว่าผู้ใช้แต่ละคนมีตัวแปรที่จะกดตำแหน่งโฆษณาในตำแหน่งใหม่ที่ต่างกันมากจึงควรใช้ตัวอย่างมากขึ้นในการทดลองให้ได้ค่าที่ใกล้เคียงกับการนำไปใช้ในระยะยาวกับการนำไปใช้ในระยะยาว,3.0
48,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,Bernoulli เปลี่ยนเป็นเทียบจำนวนครั้งที่คนกดโฆษณากี่คนในกลุ่มตัวอย่าง,0.0
49,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"การแบ่งแบบ 50/50 จะใช้ว่าเวลาทดลองน้อยกว่าการแบ่งแบบ 80/20 เนื่องจากมีขนาดตัวอย่างของผู้ใช้ที่เจอการย้ายตำแหน่งของโฆษณามากกกว่า
แต่ 50/50 จะมีความเสี่ยงมากกว่าการแบ่งแบบ 80/20 เนื่องจากมีโอกาสที่ผู้ใช้จะไม่ชอบการเปลี่ยนแปลงของ Hamtube และส่งผลเสียต่อภาพลักษณ์ของผลิตภัณฑ์

การแบ่งแบบ 50/50 ดีกว่าเนื่องจากใช้เวลาน้อยกว่าทำให้ตัดสินใจได้เร็วขึ้นว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มจำนวนผู้ใช้คลิกโฆษณาได้หรือไม่ hamtube ดูแย่ลง",5.0
50,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่าและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"50/50
ข้อดี:
	- ความสมดุล: การจัดกลุ่มผู้ใช้อย่างเท่าๆกันทำให้ได้ข้อมูลที่สมดุลและเปรียบเทียบได้ง่าย
	- ความรวดเร็ว: ได้ข้อมูลรวดเร็วและเพียงพอต่อการวิเคราะห์และตัดสินใจ
ข้อเสีย:
	- ผลกระทบ: หากการเปลี่ยนแปลงมีผลเป็นลบจะส่งผลกระทบต่อผู้คนจำนวนมาก

80/20
ข้อดี:
	- ความเสี่ยงน้อย: หากผลการเปลี่ยนแปลงนั้นเป็นลบจะกระทบต่อคนจำนวนน้อย
	- ทดสอบง่าย: สามารถทดสอบแนวคิดหรือสิ่งใหม่ๆได้ง่ายโดยไม่กระทบคนจำนวนมาก
ข้อเสีย:
	- ความช้า: ใช้เวลานานในการรวบรวมข้อมูลนานกว่าจะได้ข้อมูลที่มีนัยสำคัญ
	- ข้อมูลไม่เพียงพอ: เนื่องจากกลุ่มทดลองมีน้อยหากเวลามีจำกัดจะทำให้ข้อมูลที่รวบรวมมามีน้อยเกินไป

สรุป: 80/20 เพราะเพียงต่อต้องมีเวลาในการเก็บข้อมูลที่มากพอเพียงต่อต้องมีเวลาในการเก็บข้อมูลที่มากพอ",5.0
51,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,เห็นด้วยการกระจายแบบทวินามและการเลือกใช้การกระจายแบบทวินามทำให้สามารถนำข้อมูลไปคำนวนค่าทางสถิติต่างได้ได้ได้ได้,5.0
52,Q1,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B อธิบายเหตุผลที่แฮมทาโร่ควรใช้ A/B ทดสอบในการทดสอบพร้อมกับอธิบายเหตุผลพร้อมกับอธิบายเหตุผล,แฮมทาโร่ควรใช้ A/B ทดสอบเพราะจะทำให้สามารถรู้ได้ว่าการย้ายตำแหน่งของโฆษณาส่งผลต่อยอดขายหรือไม่โดยไม่ได้ขึ้นกับ confounder อื่นๆ,3.0
53,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบจงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"สัดส่วน 50/50:
ข้อดี: เป็นการทดสอบที่ทุ่มเทเพราะทั้งสองกลุ่มได้รับการตั้งเทียบโฆษณาในทั้งสองตำแหน่ง: สัดส่วน 50/50 ช่วยให้ทั้งตัวแปรควบคุม (ตำแหน่งเก่า) และตัวแปรทดลอง (ตำแหน่งใหม่) ได้รับการทดสอบอย่างเท่าเทียมกัน
ข้อเสีย: ไม่ตรวจสอบว่าการเปลี่ยนแปลงมีผลที่มีนัยสำคัญหรือไม่: การเลือกสัดส่วน 50/50 อาจทำให้ไม่สามารถตรวจสอบว่าการย้ายตำแหน่งโฆษณามีผลที่มีนัยสำคัญหรือไม่เนื่องจากทั้งสองกลุ่มได้รับการทดสอบเท่ากัน

สัดส่วน 80/20:
ข้อดี: การให้น้ำหนักมากกว่าในกลุ่มทดลอง: ในกรณีนี้ 80% ของผู้ใช้จะเห็นโฆษณาที่ตำแหน่งใหม่ซึ่งสามารถช่วยให้แฮมทาโร่เก็บข้อมูลที่มีนัยสำคัญมากกว่าในกลุ่มที่เหลือ
ข้อเสีย: ไม่ได้รับการทดสอบที่เท่าเทียมกัน: การให้น้ำหนักมากกว่าในกลุ่มทดลอง (80%) สามารถทำให้ผลลัพธ์ที่ได้มีผลกระทบมากขึ้นจากกลุ่มนี้ซึ่งอาจทำให้ข้อมูลที่ได้ไม่เท่าเทียมกับกลุ่มควบคุม

ความเหมาะสม:
การเลือกสัดส่วนแบบไหนที่เหมาะสมขึ้นอยู่กับวัตถุประสงค์และคำถามที่แฮมทาโร่ต้องการตอบ 50/50 เป็นทางเลือกที่ดี 80/20 อาจเป็นทางเลือกที่ดีอาจเป็นทางเลือกที่ดี",0.5
54,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบจงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,"50/50 จะช่วยให้เปรียบเทียบผลลัพธ์การคลิกโฆษณาของตำแหน่งเก่าและใหม่ได้อย่างเท่าเทียม 50/50 จะทำให้เราไม่สามารถตรวจสอบผลของตัวแปรอื่นๆที่ควบคุมไม่ได้เช่นความชอบส่วนตัวของผู้ทดสอบ 
80/20 จะช่วยให้ผลลัพธ์ที่ได้ของการเปลี่ยนตำแหน่งปุ่มอ้างอิงจากความชอบของคนส่วนใหญ่มากกว่า 50/50 แต่ 80/20 จะทำให้การเปรียบเทียบผลลัพธ์ของการระหว่างกลุ่มการเปลี่ยนและไม่เปลี่ยนตำแหน่งยุ่งยากซับซ้อนกว่าเพราะกลุ่มตัวอย่างที่ไม่เท่ากัน

ซึ่งผมคิดว่าแฮมทาโร่ควรเลือกใช้แบบ 80/20 เพื่อให้ได้ข้อมูลที่น่าจะเป็นจริงที่สุดจากกลุ่มตัวอย่างเพียงแต่อาจจะต้องเก็บข้อมูลมากขึ้นในการวิเคราะห์เพื่อให้มีความน่าเชื่อถือสูง",1.0
55,Q4,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่จะต้องเลือกว่าอยากให้สัดส่วนของผู้ใช้ที่เห็นโฆษณาตำแหน่งเก่าผู้ใช้ที่เห็นโฆษณาตำแหน่งใหม่เป็นเท่าไร 50/50 กับ 80/20 จงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบจงอธิบายข้อดีข้อเสียของการเลือกสัดส่วนแต่ละแบบและตอบว่าแบบใดที่น่าจะเหมาะสมกับปัญหานี้มากกว่า,80/20 เพราะความปลอดภัยกว่าในกรณีที่โฆษณาแบบใหม่ไม่เวิร์คและกระทบกับการใช้งานและหัวหน้าของเขาไม่ได้เร่งให้ส่งข้อสรุปเร็วๆนี้จึงค่อยเป็นค่อยไปได้,4.0
56,Q3,Hamtube เป็นแพลตฟอร์มดูวีดีโอออนไลน์แชร์และดูวิดีโอได้ hamtube และเขาต้องการทราบว่าการย้ายตำแหน่งของโฆษณาจะช่วยเพิ่มยอดขาย (ผู้ใช้คลิกโฆษณามากขึ้น) หรือไม่การทดสอบ A/B แฮมทาโร่เลือกที่จะใช้การกระจายแบบทวินามเพื่อแทนการกระจายของการทำ A/B ทดสอบในครั้งนี้เพราะเหตุใดเพราะเหตุใด,"เห็นด้วยกับการใช้การกระจายแบบทวินาม
เพราะการคลิกโฆษณามีผลลัพธ์สองอย่าง (คลิกหรือไม่คลิก) ซึ่งเหมาะกับการใช้การกระจายแบบทวินาม
และการกระจายแบบทวินามช่วยให้สามารถคำนวณความน่าจะเป็นและเปรียบเทียบผลลัพธ์ระหว่างสองกลุ่มได้ง่าย",5.0
